serial_number,uuid,page_number,shelf_row,position_column,mounting_type,extraction_status,extraction_method,qa_check,duplicates,Column Position
A1-1A,8eb94a96-886f-6655-b7fd-799d1cd1f216,1,1,A,Screw Holes,matched,original-matched,8eb94a96-886f-6655-b7fd-799d1cd1f216,1,1
A1-1B,60b94a96-89c5-145a-66bd-46277a142cd1,1,1,B,Screw Holes,matched,original-matched,,1,2
A1-1C,b4b94a96-8b3e-f0af-51d6-f850cbbd734b,1,1,C,Screw Holes,matched,original-matched,,1,3
A1-1D,60b94a96-8c85-b406-f594-72b5de3e99ef,1,1,D,Screw Holes,recovered,original-recovered,,2,4
A1-1E,9ab94a96-8ec6-07e1-5c5d-9e8af8c32c91,2,1,E,Screw Holes,matched,original-matched,,1,5
A1-1G,1cb94a96-913b-43a1-665f-1c76fe1a4c71,2,1,G,Screw Holes,matched,original-matched,,2,7
A1-1H,76b94a96-8fff-d27f-7653-bcf57497cb26,2,1,H,Screw Holes,recovered,original-recovered,,1,8
A1-1J,1cb94a96-913b-43a1-665f-1c76fe1a4c71,2,1,J,Screw Holes,recovered,original-recovered,,2,10
A1-1K,7ccbb20f-d1c7-0fec-78f6-7b0ef56272a9,2,1,K,Screw Holes,recovered,original-recovered,,1,11
A1-1L,bacbb20f-d228-f0a4-738c-56ea51c2ea4f,2,1,L,Screw Holes,recovered,original-recovered,,1,12
A1-2A,2ab94a96-88b6-8707-3a58-bd1bff9f81e8,1,2,A,Screw Holes,matched,original-matched,,1,1
A1-2B,0eb94a96-8a29-a825-d9eb-52414d2c70d0,1,2,B,Screw Holes,matched,original-matched,,1,2
A1-2C,eab94a96-8b8b-5b44-5e30-a0df4b512b29,1,2,C,Screw Holes,matched,original-matched,,1,3
A1-2D,0cb94a96-8cd5-9f57-b7ab-bf795ed90784,1,2,D,Screw Holes,matched,original-matched,,1,4
A1-2E,e2b94a96-8dee-737e-0440-c995a928fe57,2,2,E,Screw Holes,matched,original-matched,,1,5
A1-2G,82b94a96-903e-ba0b-6a9e-f2b257ca32f6,2,2,G,Screw Holes,matched,original-matched,,1,7
A1-2H,32b94a96-917f-f452-c3b5-845ff9e9b3ba,2,2,H,Screw Holes,matched,original-matched,,1,8
A1-2J,f6b94a96-8dab-63b7-a8a7-f968dc74a016,2,2,J,Screw Holes,matched,original-matched,,1,10
A1-2K,62cbb20f-d286-ece0-7232-58fbbb7217ed,2,2,K,Screw Holes,recovered,original-recovered,,1,11
A1-2L,cccbb20f-d2d2-1c89-1427-3f63fa06ed64,2,2,L,Screw Holes,recovered,original-recovered,,1,12
A1-3A,feb94a96-88ff-8380-80c6-294ede0e7051,1,3,A,Screw Holes,matched,original-matched,,1,1
A1-3B,c2b94a96-8a7c-931e-d633-f5e826fe2434,1,3,B,Screw Holes,matched,original-matched,,1,2
A1-3C,3eb94a96-8bd8-f993-b362-af00f4da5bf7,1,3,C,Screw Holes,matched,original-matched,,1,3
A1-3D,60b94a96-8c85-b406-f594-72b5de3e99ef,1,3,D,Screw Holes,recovered,original-recovered,,2,4
A1-3E,2eb94a96-8f6c-b4b1-60be-5bbd9658c941,2,3,E,Screw Holes,matched,original-matched,,1,5
A1-3G,c6b94a96-91de-e881-13af-a1e01833918a,2,3,G,Screw Holes,matched,original-matched,,2,7
A1-3H,e6b94a96-908f-abb2-d5df-94b2ff0ec21c,2,3,H,Screw Holes,recovered,original-recovered,,1,8
A1-3J,c6b94a96-91de-e881-13af-a1e01833918a,2,3,J,Screw Holes,recovered,original-recovered,,2,10
A1-4A,c8b94a96-895d-fd85-6850-8a831895a997,1,4,A,Adhesive,matched,original-matched,,1,1
A1-4B,c0b94a96-8aef-a286-ad9b-aea4120ffff7,1,4,B,Adhesive,matched,original-matched,,1,2
A1-4C,e6b94a96-8c20-bffc-20f8-2d76ad3d2d68,1,4,C,Adhesive,matched,original-matched,,1,3
A1-4D,b6b94a96-8d61-040a-3a79-3203bd03e9d8,1,4,D,Adhesive,matched,original-matched,,1,4
A1-4E,20b94a96-8e7f-c089-c3dc-0dab57457d7c,2,4,E,Adhesive,matched,original-matched,,1,5
A1-4G,3ab94a96-90d8-8137-ab51-c94e25883ea1,2,4,G,Adhesive,matched,original-matched,,1,7
A1-4H,90b94a96-9220-9000-952f-aa0113509aa9,2,4,H,Adhesive,matched,original-matched,,1,8
A1-4J,bab94a96-8e34-e27c-f632-984d2132e172,2,4,J,Adhesive,matched,original-matched,,1,10
A2-1A,d0b94a96-9a4e-4daa-0514-57b943e284ee,3,1,A,Screw Holes,matched,original-matched,,2,1
A2-1B,e8b94a96-97b4-10cc-5c4d-d415fdc97797,3,1,B,Screw Holes,matched,original-matched,,1,2
A2-1C,e6b94a96-9b76-da47-9bde-2bd570551c0f,3,1,C,Screw Holes,matched,original-matched,,2,3
A2-1D,d0b94a96-9a4e-4daa-0514-57b943e284ee,3,1,D,Screw Holes,matched,original-matched,,2,4
A2-1E,acb94a96-94b4-e1e5-fedb-c6483fc5e299,4,1,E,Screw Holes,matched,original-matched,,1,5
A2-1G,eeb94a96-9269-eed3-bc5e-b213f3d5c6e9,4,1,G,Screw Holes,matched,original-matched,acb94a96-94b4-e1e5-fedb-c6483fc5e299,1,7
A2-1H,3ab94a96-950c-3884-29ca-d280801bcf8c,4,1,H,Screw Holes,matched,original-matched,,1,8
