page_layout,page_row_idx,page_col_idx,shelf_row,shelf_col,support,source
lower-p1,0,0,2,A,3,batch1
lower-p1,0,1,4,A,3,batch1
lower-p1,0,2,2,B,3,batch1
lower-p1,0,3,4,B,3,batch1
lower-p1,0,4,2,C,3,batch1
lower-p1,0,5,4,C,3,batch1
lower-p1,0,6,2,D,3,batch1
lower-p1,0,7,4,D,3,batch1
lower-p1,1,0,1,A,3,batch1
lower-p1,1,1,3,A,3,batch1
lower-p1,1,2,1,B,3,batch1
lower-p1,1,3,3,B,3,batch1
lower-p1,1,4,1,C,3,batch1
lower-p1,1,5,3,C,3,batch1
lower-p1,1,6,1,D,3,batch1
lower-p1,1,7,3,D,3,batch1
lower-p2,0,0,2,E,3,batch1
lower-p2,0,1,4,E,2,batch1
lower-p2,0,2,2,G,3,batch1
lower-p2,0,3,4,G,2,batch1
lower-p2,0,4,2,H,3,batch1
lower-p2,0,5,4,H,2,batch1
lower-p2,0,6,2,J,3,batch1
lower-p2,0,7,4,J,2,batch1
lower-p2,0,8,2,K,3,batch1
lower-p2,0,9,2,L,3,batch1
lower-p2,1,0,1,E,3,batch1
lower-p2,1,1,3,E,2,batch1
lower-p2,1,2,1,G,3,batch1
lower-p2,1,3,3,G,2,batch1
lower-p2,1,4,1,H,3,batch1
lower-p2,1,5,3,H,2,batch1
lower-p2,1,6,1,J,3,batch1
lower-p2,1,7,3,J,2,batch1
lower-p2,1,8,1,K,3,batch1
lower-p2,1,9,1,L,3,batch1
upper-p1,0,0,2,A,0,copy-from-lower-p1
upper-p1,0,1,4,A,0,copy-from-lower-p1
upper-p1,0,2,2,B,0,copy-from-lower-p1
upper-p1,0,3,4,B,0,copy-from-lower-p1
upper-p1,0,4,2,C,0,copy-from-lower-p1
upper-p1,0,5,4,C,0,copy-from-lower-p1
upper-p1,0,6,2,D,0,copy-from-lower-p1
upper-p1,0,7,4,D,0,copy-from-lower-p1
upper-p1,1,0,1,A,0,copy-from-lower-p1
upper-p1,1,1,3,A,0,copy-from-lower-p1
upper-p1,1,2,1,B,0,copy-from-lower-p1
upper-p1,1,3,3,B,0,copy-from-lower-p1
upper-p1,1,4,1,C,0,copy-from-lower-p1
upper-p1,1,5,3,C,0,copy-from-lower-p1
upper-p1,1,6,1,D,0,copy-from-lower-p1
upper-p1,1,7,3,D,0,copy-from-lower-p1
upper-p2,0,0,2,E,0,hypothesis-upper-p2
upper-p2,0,1,4,E,0,hypothesis-upper-p2
upper-p2,0,2,2,G,0,hypothesis-upper-p2
upper-p2,0,3,4,G,0,hypothesis-upper-p2
upper-p2,0,4,2,H,0,hypothesis-upper-p2
upper-p2,0,5,4,H,0,hypothesis-upper-p2
upper-p2,0,6,2,J,0,hypothesis-upper-p2
upper-p2,0,7,4,J,0,hypothesis-upper-p2
upper-p2,1,0,1,E,0,hypothesis-upper-p2
upper-p2,1,1,3,E,0,hypothesis-upper-p2
upper-p2,1,2,1,G,0,hypothesis-upper-p2
upper-p2,1,3,3,G,0,hypothesis-upper-p2
upper-p2,1,4,1,H,0,hypothesis-upper-p2
upper-p2,1,5,3,H,0,hypothesis-upper-p2
upper-p2,1,6,1,J,0,hypothesis-upper-p2
upper-p2,1,7,3,J,0,hypothesis-upper-p2
