page,symbol_format,center_x,center_y,payload,decode_source,page_row_idx,page_col_idx,page_layout
1,QR Code,0.124857,0.206167,2ab94a96-88b6-8707-3a58-bd1bff9f81e8,zxing@300,0,0,lower-p1
1,QR Code,0.224059,0.205562,c8b94a96-895d-fd85-6850-8a831895a997,zxing@300,0,1,lower-p1
1,QR Code,0.322406,0.206167,0eb94a96-8a29-a825-d9eb-52414d2c70d0,zxing@300,0,2,lower-p1
1,QR Code,0.421608,0.205562,c0b94a96-8aef-a286-ad9b-aea4120ffff7,zxing@300,0,3,lower-p1
1,QR Code,0.520097,0.206368,eab94a96-8b8b-5b44-5e30-a0df4b512b29,zxing@300,0,4,lower-p1
1,QR Code,0.619299,0.206167,e6b94a96-8c20-bffc-20f8-2d76ad3d2d68,zxing@300,0,5,lower-p1
1,QR Code,0.718358,0.206167,0cb94a96-8cd5-9f57-b7ab-bf795ed90784,zxing@300,0,6,lower-p1
1,QR Code,0.834236,0.20133,b6b94a96-8d61-040a-3a79-3203bd03e9d8,zxing@300,0,7,lower-p1
1,QR Code,0.124287,0.57638,8eb94a96-886f-6655-b7fd-799d1cd1f216,zxing@300,1,0,lower-p1
1,QR Code,0.224059,0.575574,feb94a96-88ff-8380-80c6-294ede0e7051,zxing@300,1,1,lower-p1
1,QR Code,0.322406,0.575574,60b94a96-89c5-145a-66bd-46277a142cd1,zxing@300,1,2,lower-p1
1,QR Code,0.421465,0.575977,c2b94a96-8a7c-931e-d633-f5e826fe2434,zxing@300,1,3,lower-p1
1,QR Code,0.520382,0.576179,b4b94a96-8b3e-f0af-51d6-f850cbbd734b,zxing@300,1,4,lower-p1
1,QR Code,0.619156,0.575574,3eb94a96-8bd8-f993-b362-af00f4da5bf7,zxing@300,1,5,lower-p1
1,QR Code,0.718358,0.575574,60b94a96-8c85-b406-f594-72b5de3e99ef,zxing@300,1,6,lower-p1
1,QR Code,0.834236,0.576784,f4b94a96-8d1d-b523-ea16-6055f2d1c9eb,zxing@300,1,7,lower-p1
2,QR Code,0.114595,0.224305,e2b94a96-8dee-737e-0440-c995a928fe57,zxing@300,0,0,lower-p2
2,QR Code,0.199544,0.224506,20b94a96-8e7f-c089-c3dc-0dab57457d7c,zxing@300,0,1,lower-p2
2,QR Code,0.284778,0.224305,6ab94a96-8f0d-ff79-dc16-cf6376d899f2,zxing@300,0,2,lower-p2
2,QR Code,0.369441,0.224305,00b94a96-8fbc-a5d2-12dd-6963c4320ebe,zxing@300,0,3,lower-p2
2,QR Code,0.45439,0.224506,82b94a96-903e-ba0b-6a9e-f2b257ca32f6,zxing@300,0,4,lower-p2
2,QR Code,0.539196,0.224305,3ab94a96-90d8-8137-ab51-c94e25883ea1,zxing@300,0,5,lower-p2
2,QR Code,0.631129,0.222491,32b94a96-917f-f452-c3b5-845ff9e9b3ba,zxing@300,0,6,lower-p2
2,QR Code,0.714937,0.222491,90b94a96-9220-9000-952f-aa0113509aa9,zxing@300,0,7,lower-p2
2,Aztec,0.79675,0.233978,62cbb20f-d286-ece0-7232-58fbbb7217ed,zxing@300,0,8,lower-p2
2,Aztec,0.883837,0.23156,cccbb20f-d2d2-1c89-1427-3f63fa06ed64,zxing@300,0,9,lower-p2
2,QR Code,0.115165,0.574768,f6b94a96-8dab-63b7-a8a7-f968dc74a016,zxing@300,1,0,lower-p2
2,QR Code,0.200114,0.57497,bab94a96-8e34-e27c-f632-984d2132e172,zxing@300,1,1,lower-p2
2,QR Code,0.28492,0.574768,9ab94a96-8ec6-07e1-5c5d-9e8af8c32c91,zxing@300,1,2,lower-p2
2,QR Code,0.369869,0.57497,2eb94a96-8f6c-b4b1-60be-5bbd9658c941,zxing@300,1,3,lower-p2
2,QR Code,0.454532,0.57497,76b94a96-8fff-d27f-7653-bcf57497cb26,zxing@300,1,4,lower-p2
2,QR Code,0.539481,0.575171,e6b94a96-908f-abb2-d5df-94b2ff0ec21c,zxing@300,1,5,lower-p2
2,QR Code,0.631129,0.577993,1cb94a96-913b-43a1-665f-1c76fe1a4c71,zxing@300,1,6,lower-p2
2,QR Code,0.715792,0.577187,c6b94a96-91de-e881-13af-a1e01833918a,zxing@300,1,7,lower-p2
2,Aztec,0.793615,0.615679,7ccbb20f-d1c7-0fec-78f6-7b0ef56272a9,zxing@300,1,8,lower-p2
2,Aztec,0.881129,0.610842,bacbb20f-d228-f0a4-738c-56ea51c2ea4f,zxing@300,1,9,lower-p2
3,QR Code,0.137258,0.211608,eeb94a96-9b31-d047-9cc4-ef6b1631db9b,zxing@300,0,0,lower-p1
3,QR Code,0.236887,0.211608,e2b94a96-9bc0-b199-43ae-d1d7a1a97b7a,zxing@300,0,1,lower-p1
3,QR Code,0.336517,0.211608,60b94a96-99e8-09a0-830c-3096b734bca9,zxing@300,0,2,lower-p1
3,QR Code,0.436146,0.211608,a0b94a96-9a9a-b05c-7c62-b9b309dea683,zxing@300,0,3,lower-p1
3,QR Code,0.535775,0.211608,16b94a96-98b4-06ef-973b-8faa9441b152,zxing@300,0,4,lower-p1
3,QR Code,0.645667,0.205562,fcb94a96-9956-559e-3c26-e73f5b030cd1,zxing@300,0,5,lower-p1
3,QR Code,0.745724,0.205562,22b94a96-9754-cc32-0d5e-66eb47bb339a,zxing@300,0,6,lower-p1
3,QR Code,0.845353,0.205562,e4b94a96-9804-d790-9afe-62335d8523df,zxing@300,0,7,lower-p1
3,QR Code,0.137258,0.577993,60b94a96-9ae7-32f2-0048-f5fa513a3fa1,zxing@300,1,0,lower-p1
3,QR Code,0.23646,0.577993,e6b94a96-9b76-da47-9bde-2bd570551c0f,zxing@300,1,1,lower-p1
3,QR Code,0.336944,0.577187,aab94a96-99a1-0ea3-d80c-8e484fab6f24,zxing@300,1,2,lower-p1
3,QR Code,0.436288,0.57759,d0b94a96-9a4e-4daa-0514-57b943e284ee,zxing@300,1,3,lower-p1
3,QR Code,0.536203,0.577993,f8b94a96-986c-a549-092a-38a6bf0aef37,zxing@300,1,4,lower-p1
3,QR Code,0.645239,0.57497,90b94a96-9904-7dc0-b2dc-ed71c0459847,zxing@300,1,5,lower-p1
3,QR Code,0.745724,0.57497,3eb94a96-9707-990c-753a-97fae84b2389,zxing@300,1,6,lower-p1
3,QR Code,0.845781,0.57497,e8b94a96-97b4-10cc-5c4d-d415fdc97797,zxing@300,1,7,lower-p1
4,QR Code,0.117161,0.21705,fcb94a96-9631-0969-328b-cf5b06881c5f,zxing@300,0,0,lower-p2
4,QR Code,0.203962,0.216445,04b94a96-96c6-68d3-17d2-8d70670dc059,zxing@300,0,1,lower-p2
4,QR Code,0.289766,0.217654,3ab94a96-950c-3884-29ca-d280801bcf8c,zxing@300,0,2,lower-p2
4,QR Code,0.376283,0.217654,60b94a96-95a5-80c5-a92b-ccb764eecd99,zxing@300,0,3,lower-p2
4,QR Code,0.478335,0.220879,48b94a96-93df-2062-d494-0d4b44d1e071,zxing@300,0,4,lower-p2
4,QR Code,0.564852,0.220677,46b94a96-9469-ddf1-9e00-816d4cac40cb,zxing@300,0,5,lower-p2
4,QR Code,0.651368,0.220879,44b94a96-92ab-66f5-d5dd-99d32b7710e0,zxing@300,0,6,lower-p2
4,QR Code,0.738455,0.220677,06b94a96-9352-8618-cc95-d2bbc14919e8,zxing@300,0,7,lower-p2
4,Aztec,0.812144,0.244458,16cbb20f-d230-6753-9401-bb471d9272cb,zxing@300,0,8,lower-p2
4,Aztec,0.893101,0.241838,3ecbb20f-d281-78fc-5064-1029215b730a,zxing@300,0,9,lower-p2
4,QR Code,0.116876,0.56711,dab94a96-95e9-c624-01d2-cdf2bb951b16,zxing@300,1,0,lower-p2
4,QR Code,0.203962,0.566505,a6b94a96-9679-10e1-da1b-911b46aef82e,zxing@300,1,1,lower-p2
4,QR Code,0.289481,0.567715,acb94a96-94b4-e1e5-fedb-c6483fc5e299,zxing@300,1,2,lower-p2
4,QR Code,0.37671,0.566505,ceb94a96-954e-ef3f-c40f-fa0b001df6fe,zxing@300,1,3,lower-p2
4,QR Code,0.47862,0.568521,ecb94a96-9396-cc65-ceab-0fa7fe5ffbf2,zxing@300,1,4,lower-p2
4,QR Code,0.565279,0.568319,b8b94a96-942a-67a2-9fea-69dcaf72cfd1,zxing@300,1,5,lower-p2
4,QR Code,0.651938,0.568319,eeb94a96-9269-eed3-bc5e-b213f3d5c6e9,zxing@300,1,6,lower-p2
4,QR Code,0.738597,0.568521,d6b94a96-92fc-bcd4-8627-4d6735ed1712,zxing@300,1,7,lower-p2
4,Aztec,0.814567,0.612455,40cbb20f-d2dd-79d3-88ad-b3febea4ac1d,zxing@300,1,8,lower-p2
4,Aztec,0.891106,0.608222,e6cbb20f-d1c9-1cea-efc8-ade5cca6437b,zxing@300,1,9,lower-p2
5,QR Code,0.133694,0.200524,d6b94a96-9c57-b14c-10ff-4f0fd3ba6c13,zxing@300,0,0,lower-p1
5,QR Code,0.236317,0.200322,c2b94a96-9ce9-4c89-78c8-8e5aa0c6e97c,zxing@300,0,1,lower-p1
5,QR Code,0.338227,0.201129,58b94a96-9d73-ae47-5a9b-8fbdee1c5ae2,zxing@300,0,2,lower-p1
5,QR Code,0.45667,0.206973,f6b94a96-9dfc-7070-db34-dd6c7c171dc5,zxing@300,0,3,lower-p1
5,QR Code,0.55573,0.206771,0ab94a96-9e8c-bf78-eb8d-d5f0952e05ba,zxing@300,0,4,lower-p1
5,QR Code,0.654504,0.206771,30b94a96-9f32-4094-81ab-d7f2910b891d,zxing@300,0,5,lower-p1
5,QR Code,0.753136,0.206771,8eb94a96-9fc3-299c-f72a-b53bc1e59d62,zxing@300,0,6,lower-p1
5,QR Code,0.852623,0.206167,20b94a96-a063-0745-81f4-1c58c3b95c3f,zxing@300,0,7,lower-p1
5,QR Code,0.134692,0.569327,0eb94a96-9c09-03c4-55b1-a7cb76a809cc,zxing@300,1,0,lower-p1
5,QR Code,0.236032,0.570133,34b94a96-9ca4-530c-248e-34f8422716ed,zxing@300,1,1,lower-p1
5,QR Code,0.338655,0.570133,2ab94a96-9d33-298b-73b9-a61d22bfaf0f,zxing@300,1,2,lower-p1
5,QR Code,0.45667,0.574365,3cb94a96-9db5-6bfd-3af6-a8590c2873cb,zxing@300,1,3,lower-p1
5,QR Code,0.555872,0.57497,50b94a96-9e44-03d7-5fb5-e891e8e822c5,zxing@300,1,4,lower-p1
5,QR Code,0.655074,0.574365,7cb94a96-9ed0-2e32-98f8-8da4f5a6130d,zxing@300,1,5,lower-p1
5,QR Code,0.753421,0.574365,ceb94a96-9f7c-7548-3fe6-f230cb925650,zxing@300,1,6,lower-p1
5,QR Code,0.852765,0.574768,72b94a96-a01f-50af-7c39-1a53a787e442,zxing@300,1,7,lower-p1
6,QR Code,0.116306,0.226723,14b94a96-a0ed-001b-60a2-e9236e80d5b2,zxing@300,0,0,lower-p2
6,QR Code,0.199259,0.226119,2cb94a96-a177-03cb-6302-9b56c2218eba,zxing@300,0,1,lower-p2
6,QR Code,0.306585,0.224909,a0b94a96-a214-b874-ec6f-d782d256299b,zxing@300,0,2,lower-p2
6,QR Code,0.390536,0.225312,f6b94a96-a2a8-e16a-0c7d-9d6bec8dcdb8,zxing@300,0,3,lower-p2
6,QR Code,0.474202,0.225514,82b94a96-a350-6869-ea29-a10b1233e08e,zxing@300,0,4,lower-p2
6,QR Code,0.558723,0.225312,2eb94a96-a421-f778-65a7-01b3a2508dc6,zxing@300,0,5,lower-p2
6,QR Code,0.642674,0.225111,32b94a96-a4bc-678b-91f3-7b6e15bfd7ed,zxing@300,0,6,lower-p2
6,QR Code,0.72634,0.225514,9eb94a96-a54a-b18b-bb0a-7a9aa70af075,zxing@300,0,7,lower-p2
6,Aztec,0.8063,0.217856,cccbb20f-d1d2-1c1c-8151-59a248224b27,zxing@300,0,8,lower-p2
6,Aztec,0.884977,0.21846,f6cbb20f-d22c-bd5f-c26c-f3ad8ca36e0f,zxing@300,0,9,lower-p2
6,QR Code,0.116306,0.561064,94b94a96-a0a9-229e-a736-0f6364d68ee3,zxing@300,1,0,lower-p2
6,QR Code,0.199259,0.561064,60b94a96-a134-1ea1-0c81-aec9500f6bca,zxing@300,1,1,lower-p2
6,QR Code,0.306157,0.559855,bcb94a96-a1cb-d62b-c099-3adc65c40322,zxing@300,1,2,lower-p2
6,QR Code,0.390393,0.559855,b0b94a96-a25b-5ad1-8903-32a577ded770,zxing@300,1,3,lower-p2
6,QR Code,0.474202,0.559855,88b94a96-a2f9-27e9-5124-936987b9b34c,zxing@300,1,4,lower-p2
6,QR Code,0.558438,0.559855,3cb94a96-a3ae-057b-a630-74d5d5b4da00,zxing@300,1,5,lower-p2
6,QR Code,0.642674,0.559855,60b94a96-a474-e536-026e-fd54413d4cc3,zxing@300,1,6,lower-p2
6,QR Code,0.726482,0.559855,aab94a96-a503-ad02-7750-8fbba3a49393,zxing@300,1,7,lower-p2
6,Aztec,0.80516,0.580814,92cbb20f-d28f-8f3a-a70c-2ac3db84d948,zxing@300,1,8,lower-p2
6,Aztec,0.888113,0.584643,94cbb20f-d2e7-fd60-e55e-420da9677003,zxing@300,1,9,lower-p2
7,QR Code,0.137828,0.211608,acb94a96-9049-3f65-7543-59e2ce3fa44e,zxing@300,0,0,lower-p1
7,QR Code,0.247577,0.214631,68b94a96-90ed-e62b-5391-049cebfa2471,zxing@300,0,1,lower-p1
7,QR Code,0.345068,0.214631,0eb94a96-8f10-86e5-7fda-b1bc9c48ea74,zxing@300,0,2,lower-p1
7,QR Code,0.44256,0.21443,10b94a96-8fa0-914a-0be5-05d5b21a37f8,zxing@300,0,3,lower-p1
7,QR Code,0.539909,0.21443,20b94a96-8dcc-a28c-2638-f4b3dec01db8,zxing@300,0,4,lower-p1
7,QR Code,0.638113,0.214027,86b94a96-8e69-1eac-2585-6a2c1c78ea0d,zxing@300,0,5,lower-p1
7,QR Code,0.735462,0.214631,6cb94a96-8c89-dc67-7da2-fae1007868fd,zxing@300,0,6,lower-p1
7,QR Code,0.833381,0.214027,82b94a96-8d28-e3f3-e1b6-6d23f8108bde,zxing@300,0,7,lower-p1
7,QR Code,0.137685,0.571342,dab94a96-8ffc-2d2c-874a-789e5ef4decc,zxing@300,1,0,lower-p1
7,QR Code,0.247577,0.575574,6eb94a96-90a1-ab44-38ad-e82dcc3ab280,zxing@300,1,1,lower-p1
7,QR Code,0.344641,0.575574,62b94a96-8ec5-c5d3-dd37-60ba71877bc3,zxing@300,1,2,lower-p1
7,QR Code,0.442417,0.575373,6cb94a96-8f59-cd2f-aa67-abe4c96b3f14,zxing@300,1,3,lower-p1
7,QR Code,0.540336,0.575171,84b94a96-8d76-087c-f301-8822cce0ec49,zxing@300,1,4,lower-p1
7,QR Code,0.637543,0.575574,42b94a96-8e17-45fd-8615-ecf57fac213e,zxing@300,1,5,lower-p1
7,QR Code,0.735889,0.57497,d6b94a96-8c3b-e7a6-4d04-2286046470a7,zxing@300,1,6,lower-p1
7,QR Code,0.832953,0.57497,74b94a96-8cdb-faed-706e-9cb7575437fd,zxing@300,1,7,lower-p1
8,QR Code,0.120724,0.220476,ecb94a96-8b45-4a8a-99f3-b5de1c39239f,zxing@300,0,0,lower-p2
8,QR Code,0.20439,0.220073,8ab94a96-8be7-7531-f188-389aebce2ee9,zxing@300,0,1,lower-p2
8,QR Code,0.287628,0.220879,08b94a96-8a15-a13d-e26b-1770ac01fb13,zxing@300,0,2,lower-p2
8,QR Code,0.371152,0.220476,28b94a96-8aa0-8286-eca6-356ecd65baa9,zxing@300,0,3,lower-p2
8,QR Code,0.454532,0.22108,40b94a96-88c1-8b3c-cfd8-bf236b3cf0d1,zxing@300,0,4,lower-p2
8,QR Code,0.534065,0.22632,54b94a96-896e-0704-0032-f66837027293,zxing@300,0,5,lower-p2
8,QR Code,0.621579,0.220677,e4b94a96-a60c-a82c-9db0-7db714f57b90,zxing@300,0,6,lower-p2
8,QR Code,0.711944,0.219468,6ab94a96-a6bf-571d-3fb9-0230e21c6981,zxing@300,0,7,lower-p2
8,Aztec,0.798176,0.21584,2ecbb20f-d2de-acb4-7966-7a75c4f6234d,zxing@300,0,8,lower-p2
8,Aztec,0.878991,0.213624,80cbb20f-d1cb-27e3-7c03-ac0c32aa9b23,zxing@300,0,9,lower-p2
8,QR Code,0.121009,0.550181,54b94a96-8afd-7e06-c0bf-47120281efbe,zxing@300,1,0,lower-p2
8,QR Code,0.20439,0.550181,34b94a96-8b92-bf88-352c-539298edc0ce,zxing@300,1,1,lower-p2
8,QR Code,0.287771,0.550181,9eb94a96-89cc-36c7-71c1-f7c353de1dec,zxing@300,1,2,lower-p2
8,QR Code,0.371152,0.550181,9cb94a96-8a5d-2178-2930-55524fd068d1,zxing@300,1,3,lower-p2
8,QR Code,0.45496,0.550181,3ab94a96-886c-3c8b-1a27-cb3813d504b6,zxing@300,1,4,lower-p2
8,QR Code,0.538341,0.549577,b8b94a96-8916-b127-7901-d1e8cdd8b779,zxing@300,1,5,lower-p2
8,QR Code,0.621722,0.550181,4eb94a96-a5be-57ee-7ef2-d402e97db42b,zxing@300,1,6,lower-p2
8,QR Code,0.711944,0.558041,bab94a96-a65b-4d30-855a-a5389ae1e6c2,zxing@300,1,7,lower-p2
8,Aztec,0.800029,0.589077,02cbb20f-d22d-3f36-aaff-db9f6b043b43,zxing@300,1,8,lower-p2
8,Aztec,0.875855,0.589077,10cbb20f-d281-1ebb-1a5b-33fc8d0fdbe1,zxing@300,1,9,lower-p2
9,QR Code,0.135975,0.209794,36b94a96-91c5-0d56-462e-2885ab1d4855,zxing@300,0,0,lower-p1
9,QR Code,0.234749,0.210399,78b94a96-924f-3a9b-f4d5-46b654a002b3,zxing@300,0,1,lower-p1
9,QR Code,0.332668,0.211205,6eb94a96-92d9-697f-2c1c-76ba583acec5,zxing@300,0,2,lower-p1
9,QR Code,0.432298,0.209794,7cb94a96-935e-a627-d9c5-0b0850337d35,zxing@300,0,3,lower-p1
9,QR Code,0.530787,0.210198,8eb94a96-9400-d5d6-52d9-f9b342a9dbe5,zxing@300,0,4,lower-p1
9,QR Code,0.629418,0.210399,32b94a96-948e-98cb-2859-21dad9a3da3e,zxing@300,0,5,lower-p1
9,QR Code,0.741021,0.20919,e0b94a96-952c-6899-cd37-25bdee6ca8f2,zxing@300,0,6,lower-p1
9,QR Code,0.84065,0.208585,02b94a96-95b3-0670-ab2f-53d78162c919,zxing@300,0,7,lower-p1
9,QR Code,0.135975,0.573156,4eb94a96-917b-e1c5-c43d-127698be8075,zxing@300,1,0,lower-p1
9,QR Code,0.234322,0.573156,d8b94a96-9205-35c6-6e14-03e8804a0738,zxing@300,1,1,lower-p1
9,QR Code,0.333096,0.573156,46b94a96-9296-e803-6ef1-fd00de8d117c,zxing@300,1,2,lower-p1
9,QR Code,0.432583,0.572954,40b94a96-931b-a2da-3b1f-b3ab8d1dce9f,zxing@300,1,3,lower-p1
9,QR Code,0.530929,0.572954,40b94a96-93b9-51b3-6dac-da29f4730fce,zxing@300,1,4,lower-p1
9,QR Code,0.629418,0.573156,30b94a96-944d-30ff-bd14-e996b23bd5ae,zxing@300,1,5,lower-p1
9,QR Code,0.741163,0.57235,62b94a96-94e8-4d13-5685-5057ad24a76d,zxing@300,1,6,lower-p1
9,QR Code,0.84065,0.571947,92b94a96-956f-0ab8-e042-e1448425f06a,zxing@300,1,7,lower-p1
10,QR Code,0.121864,0.221886,b4b94a96-9679-f67a-77a4-ab93a71bfd00,zxing@300,0,0,lower-p2
10,QR Code,0.209521,0.220677,54b94a96-9730-6ef1-a1af-a6106caf7ee4,zxing@300,0,1,lower-p2
10,QR Code,0.296323,0.221886,ceb94a96-97bc-223d-e4a0-eaef3b5cb248,zxing@300,0,2,lower-p2
10,QR Code,0.383124,0.221886,dab94a96-9847-9e6f-4cda-8e0d8b94fd28,zxing@300,0,3,lower-p2
10,QR Code,0.469926,0.221282,4eb94a96-98cb-1da2-8d07-3222814f59db,zxing@300,0,4,lower-p2
10,QR Code,0.565707,0.229141,5ab94a96-995d-c76b-98ed-1725e283f3e7,zxing@300,0,5,lower-p2
10,QR Code,0.649373,0.228335,18b94a96-99f2-9563-5cdf-300f06c14f11,zxing@300,0,6,lower-p2
10,QR Code,0.732184,0.228738,84b94a96-9a78-0547-2ef2-b6c4736ceb8e,zxing@300,0,7,lower-p2
10,Aztec,0.813426,0.248287,0ecbb20f-d286-b54b-3a63-2bedd190ba2f,zxing@300,0,8,lower-p2
10,Aztec,0.890251,0.245264,cacbb20f-d2e3-8587-3849-89ad2de9a4f0,zxing@300,0,9,lower-p2
10,QR Code,0.122292,0.565296,04b94a96-9603-3a42-4f34-d576a705f3d2,zxing@300,1,0,lower-p2
10,QR Code,0.209094,0.565296,c8b94a96-96c8-23ce-30ef-b594a3ec51f6,zxing@300,1,1,lower-p2
10,QR Code,0.296323,0.565296,82b94a96-9779-eb9d-b95b-3502e7a13e2d,zxing@300,1,2,lower-p2
10,QR Code,0.383124,0.565296,a0b94a96-9804-0460-b2ba-7022233ad938,zxing@300,1,3,lower-p2
10,QR Code,0.469926,0.564692,fab94a96-9889-93a2-b958-dec377302b03,zxing@300,1,4,lower-p2
10,QR Code,0.565564,0.570536,f6b94a96-9919-d45d-ee3e-6fd737b5508a,zxing@300,1,5,lower-p2
10,QR Code,0.649088,0.570133,34b94a96-99a3-3859-33db-d82f2519862e,zxing@300,1,6,lower-p2
10,QR Code,0.732326,0.570536,a4b94a96-9a35-5358-87e3-6a8dce1bc34c,zxing@300,1,7,lower-p2
10,Aztec,0.809436,0.605603,96cbb20f-d1d4-059b-f6e0-c78c77966ba6,zxing@300,1,8,lower-p2
10,Aztec,0.894954,0.608222,f8cbb20f-d22c-ad11-b665-4cccb10c24da,zxing@300,1,9,lower-p2
11,QR Code,0.133979,0.210399,bcb94a96-a308-08b9-9c18-c551b4c9457b,zxing@300,0,0,lower-p1
11,QR Code,0.232896,0.210601,bab94a96-a38f-5405-fa85-5e935ab81b96,zxing@300,0,1,lower-p1
11,QR Code,0.331813,0.210399,1ab94a96-a1e5-a787-9259-922907f04b13,zxing@300,0,2,lower-p1
11,QR Code,0.43016,0.210802,36b94a96-a275-d10f-088c-c713365f8256,zxing@300,0,3,lower-p1
11,QR Code,0.54561,0.208585,beb94a96-a0c4-fb3a-06dd-42b68d04dbdb,zxing@300,0,4,lower-p1
11,QR Code,0.640536,0.21584,a8b94a96-a14e-acc1-3148-66375376823a,zxing@300,0,5,lower-p1
11,QR Code,0.745724,0.207981,50b94a96-9f9a-6a91-34ed-1176b8f4f011,zxing@300,0,6,lower-p1
11,QR Code,0.845781,0.208585,08b94a96-a032-292c-6a23-950ebc44cfaf,zxing@300,0,7,lower-p1
11,QR Code,0.134265,0.573962,a6b94a96-a2ba-36b1-ac7e-34a7d66bb80a,zxing@300,1,0,lower-p1
11,QR Code,0.232611,0.574365,66b94a96-a34a-120e-922e-3edcb9765cf6,zxing@300,1,1,lower-p1
11,QR Code,0.331385,0.574365,44b94a96-a1a4-ef8c-63a1-389196e7b3ba,zxing@300,1,2,lower-p1
11,QR Code,0.430302,0.574164,e8b94a96-a22d-35b2-e3f5-09c44d2fc810,zxing@300,1,3,lower-p1
11,QR Code,0.54561,0.576784,2eb94a96-a07e-be14-212f-b5f9f0ea009f,zxing@300,1,4,lower-p1
11,QR Code,0.645667,0.576179,94b94a96-a103-b8f8-9fbd-ba90454d54d1,zxing@300,1,5,lower-p1
11,QR Code,0.745724,0.576179,20b94a96-9f51-24df-e0d7-a45d0449f6a1,zxing@300,1,6,lower-p1
11,QR Code,0.845781,0.576179,d2b94a96-9fdd-ab36-9d66-a79ba5e297d2,zxing@300,1,7,lower-p1
12,QR Code,0.120867,0.213019,6cb94a96-9e83-fe62-25b9-f6f4d406a7f0,zxing@300,0,0,lower-p2
12,QR Code,0.203962,0.212817,4cb94a96-9f08-ed43-525a-1ed72fe9cdab,zxing@300,0,1,lower-p2
12,QR Code,0.287058,0.213825,1eb94a96-9d6b-875a-bb50-0157de16df54,zxing@300,0,2,lower-p2
12,QR Code,0.380559,0.211004,12b94a96-9df0-77c7-e0f0-705e1691b4e5,zxing@300,0,3,lower-p2
12,QR Code,0.468216,0.210399,22b94a96-9c20-fb29-5fdb-a1f4a0a0ce2c,zxing@300,0,4,lower-p2
12,QR Code,0.555017,0.211004,4eb94a96-9cb7-ca05-c9a5-9e7bfa4c5fd1,zxing@300,0,5,lower-p2
12,QR Code,0.643101,0.210399,3cb94a96-9b04-706d-f529-d964b7e8fd23,zxing@300,0,6,lower-p2
12,QR Code,0.730331,0.211004,20b94a96-9b8d-0935-b2e3-d7f96b903be7,zxing@300,0,7,lower-p2
12,Aztec,0.812999,0.223096,eccbb20f-d43c-9da3-a67e-48c839e3e3c5,zxing@300,0,8,lower-p2
12,Aztec,0.8874,0.219468,18cbb20f-d49f-36ea-a104-532d2fbf4774,zxing@300,0,9,lower-p2
12,QR Code,0.120582,0.550181,2ab94a96-9e33-e0d3-fc5b-2f08e47b2a68,zxing@300,1,0,lower-p2
12,QR Code,0.203962,0.550383,48b94a96-9ec6-469c-0c47-0df628bc5c08,zxing@300,1,1,lower-p2
12,QR Code,0.287343,0.550181,60b94a96-9d23-9259-1c6f-1bc70b3b9bcc,zxing@300,1,2,lower-p2
12,QR Code,0.380986,0.553204,18b94a96-9dae-d704-eab2-dd3fb09aeb0b,zxing@300,1,3,lower-p2
